H_OQ-X114704893-X114704893	NHS107384
H_OQ-X319508138-X319508138	HPFS146929
H_OQ-X110444012-X110444012	NHS201036
H_OQ-X119561248-X119561248	NHS221786
H_OQ-X317224994-X317224994	HPFS702697
H_OQ-X113789143-X113789143	NHS126309
H_OQ-X316099936-X316099936	HPFS151589
H_OQ-X316818860-X316818860	HPFS119660
H_OQ-X118376245-X118376245	NHS111688
H_OQ-X110834770-X110834770	NHS152068
H_OQ-X118507635-X118507635	NHS173699
H_OQ-X114317150-X114317150	NHS123352
H_OQ-X317900322-X317900322	HPFS133763
H_OQ-X315892873-X315892873	HPFS301569
H_OQ-X314890438-X314890438	HPFS159471
H_OQ-X310670962-X310670962	HPFS700065
H_OQ-X311142703-X311142703	HPFS604109
H_OQ-X315605591-X315605591	HPFS154541
H_OQ-X311261723-X311261723	HPFS713121
H_OQ-X121025710-X121025710	NHS193906
H_OQ-X317710925-X317710925	HPFS401744
H_OQ-X113605874-X113605874	NHS113294
H_OQ-X318949826-X318949826	HPFS148871
H_OQ-X318032261-X318032261	HPFS702776
H_OQ-X316883163-X316883163	HPFS711665
H_OQ-X311909592-X311909592	HPFS148186
H_OQ-X316183080-X316183080	HPFS191597
H_OQ-X121145632-X121145632	NHS140916
H_OQ-X312017503-X312017503	HPFS507196
H_OQ-X319148740-X319148740	HPFS701892
H_OQ-X313140101-X313140101	HPFS190308
H_OQ-X119171108-X119171108	NHS141754
H_OQ-X110271196-X110271196	NHS189022
H_OQ-X318642752-X318642752	HPFS169840
H_OQ-X316295526-X316295526	HPFS109609
H_OQ-X316364305-X316364305	HPFS168616
H_OQ-X117370093-X117370093	NHS114605
H_OQ-X311600102-X311600102	HPFS156154
H_OQ-X310432304-X310432304	HPFS167042
H_OQ-X111887736-X111887736	NHS110154
H_OQ-X110441094-X110441094	NHS117036
H_OQ-X121998879-X121998879	NHS344985
H_OQ-X317953578-X317953578	HPFS121768
H_OQ-X310440295-X310440295	HPFS720042
H_OQ-X316283921-X316283921	HPFS503607
H_OQ-X314076978-X314076978	HPFS720394
H_OQ-X314068054-X314068054	HPFS109394
H_OQ-X121430015-X121430015	NHS191939
H_OQ-X312313722-X312313722	HPFS700224
H_OQ-X315372386-X315372386	HPFS152518
H_OQ-X116913022-X116913022	NHS228567
H_OQ-X115024740-X115024740	NHS106410
H_OQ-X117613414-X117613414	NHS207625
H_OQ-X318452943-X318452943	HPFS174823
H_OQ-X118907473-X118907473	NHS225732
H_OQ-X115836851-X115836851	NHS117478
H_OQ-X314124120-X314124120	HPFS710398
H_OQ-X319614754-X319614754	HPFS404941
H_OQ-X314664930-X314664930	HPFS142451
H_OQ-X116545421-X116545421	NHS138537
H_OQ-X312645992-X312645992	HPFS168259
H_OQ-X313723683-X313723683	HPFS169361
H_OQ-X315919348-X315919348	HPFS112572
H_OQ-X310139924-X310139924	HPFS125013
H_OQ-X121369482-X121369482	NHS187934
H_OQ-X315998508-X315998508	HPFS504579
H_OQ-X112538989-X112538989	NHS219207
H_OQ-X311579603-X311579603	HPFS304152
H_OQ-X110306492-X110306492	NHS157025
H_OQ-X120893109-X120893109	NHS132895
H_OQ-X311597189-X311597189	HPFS718153
H_OQ-X310173201-X310173201	HPFS147016
H_OQ-X319587401-X319587401	HPFS309938
H_OQ-X311639889-X311639889	HPFS103158
H_OQ-X112943609-X112943609	NHS221240
H_OQ-X318773892-X318773892	HPFS186852
H_OQ-X318119190-X318119190	HPFS306786
H_OQ-X117213364-X117213364	NHS160592
H_OQ-X311061695-X311061695	HPFS166102
H_OQ-X310734038-X310734038	HPFS500071
H_OQ-X117694681-X117694681	NHS133632
H_OQ-X319371130-X319371130	HPFS176915
H_OQ-X314409679-X314409679	HPFS404425
H_OQ-X312035919-X312035919	HPFS502198
H_OQ-X115492623-X115492623	NHS213449
H_OQ-X112152002-X112152002	NHS249176
H_OQ-X310510703-X310510703	HPFS605050
H_OQ-X313541562-X313541562	HPFS172344
H_OQ-X112648807-X112648807	NHS135216
H_OQ-X110138816-X110138816	NHS231011
H_OQ-X313601648-X313601648	HPFS507349
H_OQ-X111104782-X111104782	NHS161090
H_OQ-X319666702-X319666702	HPFS100949
H_OQ-X121072009-X121072009	NHS145910
H_OQ-X314836323-X314836323	HPFS715466
H_OQ-X113358273-X113358273	NHS157274
H_OQ-AT0839-AT0839	AT0839
H_OQ-G5782-G5782	G5782
H_OQ-G6651-G6651	G6651
H_OQ-AT0966-AT0966	AT0966
H_OQ-G6696-G6696	G6696
H_OQ-G6291-G6291	G6291
H_OQ-AT0493-AT0493	AT0493
H_OQ-AT0768-AT0768	AT0768
H_OQ-G6614-G6614	G6614
H_OQ-G6623-G6623	G6623
H_OQ-G6295-G6295	G6295
H_OQ-AT0705-AT0705	AT0705
H_OQ-G6120-G6120	G6120
H_OQ-AT0607-AT0607	AT0607
H_OQ-AT0620-AT0620	AT0620
H_OQ-G5823-G5823	G5823
H_OQ-G5795-G5795	G5795
H_OQ-AT0734-AT0734	AT0734
H_OQ-G5913-G5913	G5913
H_OQ-AT0334-AT0334	AT0334
H_OQ-AT0737-AT0737	AT0737
H_OQ-G5650-G5650	G5650
H_OQ-G6741-G6741	G6741
H_OQ-AT0950-AT0950	AT0950
H_OQ-G6732-G6732	G6732
H_OQ-G5889-G5889	G5889
H_OQ-G6639-G6639	G6639
H_OQ-DM097-DM097	DM097
H_OQ-G6368-G6368	G6368
H_OQ-G6157-G6157	G6157
H_OQ-AT1002-AT1002	AT1002
H_OQ-G5936-G5936	G5936
H_OQ-G6378C-G6378C	G6378C
H_OQ-AT0794-AT0794	AT0794
H_OQ-AT0790-AT0790	AT0790
H_OQ-G5630-G5630	G5630
H_OQ-G5777-G5777	G5777
H_OQ-G5980-G5980	G5980
H_OQ-AT0651-AT0651	AT0651
H_OQ-AT0422-AT0422	AT0422
H_OQ-AT0696-AT0696	AT0696
H_OQ-AT1225-AT1225	AT1225
H_OQ-AT0514-AT0514	AT0514
H_OQ-G6697-G6697	G6697
H_OQ-AT1095-AT1095	AT1095
H_OQ-AT0358-AT0358	AT0358
H_OQ-AT0726-AT0726	AT0726
H_OQ-G6689-G6689	G6689
H_OQ-G6315-G6315	G6315
H_OQ-AT0710-AT0710	AT0710
H_OQ-AT0655-AT0655	AT0655
H_OQ-G5760-G5760	G5760
H_OQ-DM120-DM120	DM120
H_OQ-G6153-G6153	G6153
H_OQ-AT0588-AT0588	AT0588
H_OQ-AT0938-AT0938	AT0938
H_OQ-AT1101-AT1101	AT1101
H_OQ-G6479-G6479	G6479
H_OQ-G5714-G5714	G5714
H_OQ-G6481-G6481	G6481
H_OQ-AT0546-AT0546	AT0546
H_OQ-G5339-G5339	G5339
H_OQ-AT1050-AT1050	AT1050
H_OQ-AT0285-AT0285	AT0285
H_OQ-AT1171-AT1171	AT1171
H_OQ-G6169-G6169	G6169
H_OQ-G6648-G6648	G6648
H_OQ-G5981-G5981	G5981
H_OQ-AT0685-AT0685	AT0685
H_OQ-G6185-G6185	G6185
H_OQ-G5579-G5579	G5579
H_OQ-AT0232-AT0232	AT0232
H_OQ-G6526-G6526	G6526
H_OQ-AT0984-AT0984	AT0984
H_OQ-AT0679-AT0679	AT0679
H_OQ-G5628-G5628	G5628
H_OQ-G5693-G5693	G5693
H_OQ-G6222-G6222	G6222
H_OQ-AT0552-AT0552	AT0552
H_OQ-AT0478-AT0478	AT0478
H_OQ-G5731-G5731	G5731
H_OQ-G6119-G6119	G6119
H_OQ-X313932507-X313932507	HPFS170381
H_OQ-X310101342-X310101342	HPFS502009
H_OQ-X119793925-X119793925	NHS239805
H_OQ-X318412812-X318412812	HPFS715819
H_OQ-X120851683-X120851683	NHS293891
H_OQ-X318038503-X318038503	HPFS701777
H_OQ-X113068041-X113068041	NHS312250
H_OQ-X315956567-X315956567	HPFS705575
H_OQ-X121824793-X121824793	NHS297971
H_OQ-X312160514-X312160514	HPFS102211
H_OQ-X118811542-X118811542	NHS262724
H_OQ-X311271215-X311271215	HPFS303122
H_OQ-X318793288-X318793288	HPFS153854
H_OQ-X313208021-X313208021	HPFS185314
H_OQ-X317058916-X317058916	HPFS507682
H_OQ-X118083719-X118083719	NHS239663
H_OQ-X315174889-X315174889	HPFS719497
H_OQ-X117872782-X117872782	NHS274646
H_OQ-X317133058-X317133058	HPFS173689
H_OQ-X311918703-X311918703	HPFS711186
H_OQ-X119708469-X119708469	NHS277798
H_OQ-X316583851-X316583851	HPFS717637
H_OQ-X318526232-X318526232	HPFS171830
H_OQ-X310244190-X310244190	HPFS174023
H_OQ-X116096406-X116096406	NHS296499
H_OQ-X312927100-X312927100	HPFS408287
H_OQ-X310485457-X310485457	HPFS710047
H_OQ-X319852903-X319852903	HPFS124977
H_OQ-X120049731-X120049731	NHS232826
H_OQ-X318679087-X318679087	HPFS306843
H_OQ-X319219220-X319219220	HPFS202899
H_OQ-X317643641-X317643641	HPFS600737
H_OQ-X315447510-X315447510	HPFS603525
H_OQ-X311873606-X311873606	HPFS306182
H_OQ-X122060829-X122060829	NHS359990
H_OQ-X120198772-X120198772	NHS270838
H_OQ-X117981383-X117981383	NHS234655
H_OQ-X118074717-X118074717	NHS319662
H_OQ-X310462943-X310462943	HPFS178045
H_OQ-X313895141-X313895141	HPFS126378
H_OQ-X314363989-X314363989	HPFS113421
H_OQ-X315356083-X315356083	HPFS712516
H_OQ-X317189026-X317189026	HPFS603694
H_OQ-X310229825-X310229825	HPFS507021
H_OQ-X113598638-X113598638	NHS249293
H_OQ-X116034657-X116034657	NHS278494
H_OQ-X313730263-X313730263	HPFS712361
H_OQ-X315809124-X315809124	HPFS165561
H_OQ-X116734328-X116734328	NHS260552
H_OQ-X116293310-X116293310	NHS326515
H_OQ-X313510639-X313510639	HPFS505341
H_OQ-X319299688-X319299688	HPFS126908
H_OQ-X319719481-X319719481	HPFS193956
H_OQ-X318675170-X318675170	HPFS140843
H_OQ-X310077416-X310077416	HPFS166007
H_OQ-X315126040-X315126040	HPFS303493
H_OQ-X317486250-X317486250	HPFS153722
H_OQ-X316773042-X316773042	HPFS715655
H_OQ-X118383237-X118383237	NHS267688
H_OQ-X313851505-X313851505	HPFS718373
H_OQ-X310223995-X310223995	HPFS111021
H_OQ-X317168419-X317168419	HPFS179692
H_OQ-X317428836-X317428836	HPFS137716
H_OQ-X318585475-X318585475	HPFS194835
H_OQ-X114894870-X114894870	NHS243399
H_OQ-X312801554-X312801554	HPFS124275
H_OQ-X316260268-X316260268	HPFS175605
H_OQ-X315278823-X315278823	HPFS300508
H_OQ-X316830628-X316830628	HPFS722660
H_OQ-X312667713-X312667713	HPFS148262
H_OQ-X119587504-X119587504	NHS303788
